Time,Tank 1,Tank 2,Tank 3
117,10850.46484,4924.583984,8305.112305
118,10924.04395,4884.849121,8280.258789
119,10878.88574,4876.704102,8261.393555
120,10834.41406,4821.733398,8239.963867
121,10955.22852,4811.868164,8219.298828
122,10879.05664,4846.123535,8206.313477
123,10939.62402,4833.105469,8173.814941
124,10862.02832,4759.401367,8143.76709
125,10822.23047,4749.609375,8122.858398
126,10805.3916,4748.035645,8105.856934
127,10768.42285,4680.853027,8095.472656
128,10862.93652,4606.185059,8099.448242
129,10736.43652,4594.472656,8093.295898
130,10807.29785,4590.90332,8114.436035
131,10816.02148,4601.648926,8112.474609
132,10758.4707,4600.546875,8080.625
133,10676.59766,4576.527344,8050.689941
134,10787.25195,4565.197266,8017.621094
135,10786.12598,4587.864746,7997.472168
136,10766.4375,4600.417969,8001.193359
137,10656.50781,4578.012207,7990.241211
138,10628.65137,4498.935547,7997.108398
139,10698.52539,4454.462402,7994.745605
140,10644.0459,4394.232422,8007.223145
141,10651.45703,4361.931641,8002.599121
142,10741.94727,4335.133789,8019.725586
143,10712.91895,4355.020508,8014.664551
144,10692.47852,4362.776367,7970.078613
145,10698.55176,4290.65918,7966.842773
146,10685.72168,4271.206543,7955.145996
147,10706.58301,4290.516113,7962.102539
148,10569.33887,4374.088867,7955.932617
149,10639.16797,4281.736328,7910.211426
150,10632.8418,4205.128906,7875.59082
151,10570.88965,4209.929688,7838.112305
152,10658.30566,4221.417969,7804.496094
153,10648.57422,4199.91748,7785.539063
154,10625.16504,4225.578613,7788.782715
155,10608.67285,4147.869629,7771.11084
156,10682.93945,4058.351563,7732.496094
157,10545.2002,4046.083496,7671.319824
158,10534.05859,4043.635742,7648.119629
159,10538.45703,4043.696533,7583.24707
160,10437.53125,4111.975098,7552.961914
161,10457.63867,4031.874268,7538.933105
162,10507.32031,4054.196289,7531.894531
163,10438.95898,4019.408447,7548.915039
164,10404.07715,3947.120117,7541.574707
165,10458.09863,3881.397217,7563.403809
166,10437.75488,3862.880859,7553.116211
167,10406.30273,3829.771729,7562.161621
168,10409.16895,3819.220215,7565.228516
169,10370.79492,3801.108398,7548.797852
170,10234.49219,3818.32373,7516.947266
171,10247.40918,3791.943848,7511.885254
172,10158.53906,3782.183594,7493.068848
173,10084.27344,3779.854736,7491.904297
174,10205.375,3789.325928,7487.193848
175,10164.51563,3764.861816,7497.068848
176,10282.09473,3762.756348,7482.280273
177,10265.95996,3765.40625,7462.778809
178,10139.12012,3775.816406,7443.467285
179,10222.45898,3762.739502,7423.489258
